                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     45,                0.16249,                0.76827,                      0,                  0.152,                0.83935,                0.99996,                      1,                  0.995,                0.99491,                0.96483,                0.96246,                0.94835,                 0.9483,                0.07119,                0.36254,                      0,                0.07181,                0.74856,             0.00075543,             0.00075543,             0.00075543
                     46,                 0.1606,                0.74735,                      0,                0.15007,                0.83932,                0.99996,                      1,                  0.995,                0.99485,                0.96396,                0.96246,                0.94667,                0.94667,                0.07059,                 0.3633,                      0,                0.07331,                0.74789,             0.00072714,             0.00072714,             0.00072714
                     47,                0.15845,                0.75894,                      0,                 0.1493,                0.83562,                0.99998,                      1,                  0.995,                0.99485,                 0.9646,                0.96246,                 0.9488,                 0.9488,                 0.0684,                 0.3649,                      0,                0.07224,                0.74772,             0.00069886,             0.00069886,             0.00069886
                     48,                0.15549,                0.75899,                      0,                0.14764,                0.83801,                      1,                0.99995,                  0.995,                0.99483,                0.96493,                0.96246,                0.95182,                0.95182,                0.06608,                0.36141,                      0,                0.07367,                0.74819,             0.00067057,             0.00067057,             0.00067057
                     49,                0.15199,                0.73614,                      0,                0.14534,                 0.8357,                0.99997,                      1,                  0.995,                0.99493,                0.96506,                0.96246,                0.95152,                 0.9515,                0.06672,                0.35913,                      0,                0.07018,                0.74736,             0.00064229,             0.00064229,             0.00064229
                     50,                0.15222,                0.74919,                      0,                0.14519,                0.83644,                0.99998,                      1,                  0.995,                0.99485,                0.96439,                0.96246,                0.94708,                0.94708,                0.06627,                0.35928,                      0,                0.06813,                0.74796,               0.000614,               0.000614,               0.000614
                     51,                0.14872,                0.70247,                      0,                0.14295,                0.83673,                0.99994,                      1,                  0.995,                0.99491,                0.96479,                0.96246,                 0.9584,                 0.9584,                  0.066,                0.35395,                      0,                0.06833,                0.74765,             0.00058571,             0.00058571,             0.00058571
                     52,                0.14876,                0.73144,                      0,                0.14193,                0.83483,                0.99997,                      1,                  0.995,                0.99483,                0.96485,                0.96246,                0.95461,                0.95461,                0.06674,                0.35105,                      0,                0.06926,                0.74756,             0.00055743,             0.00055743,             0.00055743
                     53,                0.14612,                 0.6698,                      0,                0.14033,                0.83487,                0.99997,                      1,                  0.995,                0.99494,                0.96492,                0.96246,                 0.9564,                 0.9564,                0.06715,                0.34905,                      0,                0.06955,                0.74849,             0.00052914,             0.00052914,             0.00052914
                     54,                0.14506,                0.69168,                      0,                0.13881,                0.83527,                0.99992,                      1,                  0.995,                0.99496,                0.96503,                0.96246,                0.97743,                0.97743,                0.07023,                0.34609,                      0,                0.07164,                 0.7483,             0.00050086,             0.00050086,             0.00050086
                     55,                0.14096,                0.66642,                      0,                0.13673,                0.83576,                0.99997,                      1,                  0.995,                0.99495,                0.96528,                0.96246,                0.97757,                0.97757,                0.06597,                0.33998,                      0,                0.06696,                0.74769,             0.00047257,             0.00047257,             0.00047257
                     56,                 0.1379,                0.66096,                      0,                0.13443,                0.83398,                0.99997,                      1,                  0.995,                0.99494,                0.96478,                0.96246,                0.97387,                0.97387,                0.06295,                0.33454,                      0,                0.06404,                0.74683,             0.00044429,             0.00044429,             0.00044429
                     57,                0.13673,                0.65069,                      0,                0.13335,                0.83394,                0.99996,                      1,                  0.995,                0.99492,                0.96494,                0.96246,                0.97764,                0.97762,                0.06269,                0.32893,                      0,                0.06536,                0.74727,               0.000416,               0.000416,               0.000416
                     58,                0.13788,                 0.6588,                      0,                0.13385,                0.83377,                0.99997,                      1,                  0.995,                0.99496,                0.96365,                0.96246,                0.97787,                0.97787,                0.06304,                0.32206,                      0,                0.06432,                0.74785,             0.00038771,             0.00038771,             0.00038771
                     59,                0.13298,                0.60496,                      0,                0.13121,                0.83211,                0.99997,                      1,                  0.995,                0.99495,                0.96432,                0.96246,                0.97811,                0.97811,                0.06201,                0.31262,                      0,                0.06309,                0.74744,             0.00035943,             0.00035943,             0.00035943
                     60,                0.13166,                0.62326,                      0,                0.12993,                0.83358,                0.99997,                      1,                  0.995,                0.99491,                0.96401,                0.96246,                0.97293,                0.97293,                0.06066,                0.30317,                      0,                0.06312,                0.74691,             0.00033114,             0.00033114,             0.00033114
                     61,                0.09261,                0.38116,                      0,                0.09386,                0.78312,                0.99997,                      1,                  0.995,                0.99495,                0.96394,                0.96246,                0.97249,                0.97247,                0.06331,                0.29671,                      0,                0.06587,                0.74741,             0.00030286,             0.00030286,             0.00030286
                     62,                0.08503,                0.35746,                      0,                0.08666,                0.78169,                0.99997,                      1,                  0.995,                0.99492,                0.96419,                0.96295,                0.97468,                 0.9745,                0.06264,                0.28054,                      0,                0.06272,                0.74698,             0.00027457,             0.00027457,             0.00027457
                     63,                0.07848,                0.33799,                      0,                0.08004,                0.78043,                0.99997,                      1,                  0.995,                0.99486,                0.96537,                0.96391,                0.97176,                0.97122,                0.05968,                0.26845,                      0,                0.06188,                 0.7467,             0.00024629,             0.00024629,             0.00024629
                     64,                0.07701,                0.32445,                      0,                0.07833,                0.77758,                0.99997,                      1,                  0.995,                0.99487,                0.97505,                0.97353,                0.98046,                0.97425,                0.05752,                0.25666,                      0,                0.06036,                0.74633,               0.000218,               0.000218,               0.000218
                     65,                 0.0726,                0.30849,                      0,                0.07424,                0.78327,                0.99997,                      1,                  0.995,                0.99486,                0.98096,                0.97979,                 0.9844,                0.97641,                0.05503,                 0.2441,                      0,                0.05635,                0.74627,             0.00018971,             0.00018971,             0.00018971
                     66,                0.06936,                0.29492,                      0,                0.07049,                0.78081,                0.99997,                      1,                  0.995,                 0.9949,                0.98512,                0.98364,                0.98792,                0.97821,                 0.0535,                0.23377,                      0,                0.05455,                  0.746,             0.00016143,             0.00016143,             0.00016143
                     67,                0.06611,                0.28634,                      0,                0.06825,                0.78212,                0.99998,                      1,                  0.995,                0.99489,                0.98571,                 0.9846,                0.98827,                0.97904,                0.05282,                0.22898,                      0,                0.05389,                0.74577,             0.00013314,             0.00013314,             0.00013314
                     68,                0.06492,                0.27954,                      0,                0.06616,                0.77865,                0.99998,                      1,                  0.995,                0.99487,                0.98485,                0.98364,                0.98799,                0.97962,                0.05255,                0.22578,                      0,                0.05267,                0.74569,             0.00010486,             0.00010486,             0.00010486
                     69,                0.06181,                0.26835,                      0,                  0.064,                0.78174,                0.99997,                      1,                  0.995,                0.99487,                 0.9864,                0.98508,                0.98821,                0.97965,                0.05205,                0.22303,                      0,                0.05232,                0.74566,             7.6571e-05,             7.6571e-05,             7.6571e-05
                     70,                0.06033,                0.26594,                      0,                0.06228,                0.77778,                0.99997,                      1,                  0.995,                0.99491,                0.98795,                0.98653,                0.98978,                0.98081,                0.05178,                0.22205,                      0,                0.05184,                0.74563,             4.8286e-05,             4.8286e-05,             4.8286e-05
